name,position,team,price_eur,max_price,min_price,status,playerId,remote_player,teamId,remote_team,url,lastMarket_1d,lastMarket_3d,lastMarket_7d,injured,doubt
Juan Cruz Díaz,delantero,Málaga,1950000,3350000,310000,Pequeñas molestias musculares,152078,28282,14,65,juan-cruz-diaz,-30000,-90000,-160000,0,0
Joaquín Muñoz,delantero,Málaga,1930000,2270000,900000,Disponible,16018,18570,14,65,joaquin-munoz,-30000,-70000,-120000,0,0
Marc Casadó,mediocentro,Deportivo,1930000,1930000,430000,Disponible,154357,32629,8,6,marc-casado,250000,750000,1250000,0,0
Starfelt,defensa,Celta,1920000,3030000,800000,Disponible,153356,31321,7,5,starfelt,-30000,-110000,-130000,0,0
Angeliño,defensa,Deportivo,1910000,3290000,1910000,Disponible,158138,41603,8,6,angelino,-50000,-90000,-150000,0,0
Diego Llorente,defensa,Betis,1900000,3200000,1900000,fractura en la nariz,810,1679,6,87,diego-llorente,-30000,-110000,-190000,0,1
Villalibre,delantero,Racing,1880000,3020000,1020000,Disponible,593,6792,878,812,villalibre,-100000,-180000,-250000,0,0
Adrià Altimira,defensa,Deportivo,1860000,2990000,930000,Disponible,153504,31989,8,6,adria-altimira,-20000,-80000,-210000,0,0
Ville Koski,defensa,Alavés,1860000,1860000,250000,Disponible,156532,39924,3,91,ville-koski,10000,50000,120000,0,0
Brahim,delantero,Real Madrid,1850000,2520000,1620000,Disponible,5936,129,2,15,brahim,-50000,-130000,-120000,0,0
Turrientes,mediocentro,Real Sociedad,1840000,1840000,860000,Disponible,151421,24979,16,13,turrientes,30000,90000,150000,0,0
Bardeli,mediocentro,Levante,1830000,1830000,480000,Disponible,157766,41385,21,10,bardeli,40000,180000,410000,0,0
Javi Rodríguez,defensa,Celta,1830000,2260000,1430000,Disponible,154556,33839,7,5,javi-rodriguez,-20000,-70000,-140000,0,0
Rubén Vargas,delantero,Sevilla,1830000,3670000,1830000, Parameniscitis externa de la rodilla derecha.,154708,35615,17,17,ruben-vargas,-40000,-140000,-170000,1,0
